PREDATOR,PREY,source,pred_lifestage,prey_lifestage,area,ref,notes,Quality,yref,nref
Agonus cataphractus,Crangon crangon,Diet,NA,NA,English Channel,"Hartley, P. H. T. (1940). The Saltash tuck-net fishery and the ecology of some estuarine fishes. Journal of the Marine Biological Association of the United Kingdom, 24(1), 1-68.",NA,1,1940,5
Agonus cataphractus,Pagurus bernhardus,Diet,NA,NA,North Sea,"Klimpel, S., Seehagen, A., & Palm, H. W. (2003). Metazoan parasites and feeding behaviour of four small-sized fish species from the central North Sea. Parasitology Research, 91(4), 290-297.",NA,1,2003,2
Alosa fallax,Crangon crangon,FishBase,adults,adults,NA,"Froese, R. and D. Pauly. Editors. (2018). FishBase. World Wide Web electronic publication. www.fishbase.org, version (02/2018).",NA,2,2018,2
Alosa fallax,Detritus,FishBase,adults,NA,NA,"Froese, R. and D. Pauly. Editors. (2018). FishBase. World Wide Web electronic publication. www.fishbase.org, version (02/2018).",NA,2,2018,1
Alosa fallax,Engraulis encrasicolus,FishBase,adults,adults,NA,"Froese, R. and D. Pauly. Editors. (2018). FishBase. World Wide Web electronic publication. www.fishbase.org, version (02/2018).",NA,2,2018,2
Alosa fallax,Hyperoplus lanceolatus,FishBase,adults,adults,NA,"Froese, R. and D. Pauly. Editors. (2018). FishBase. World Wide Web electronic publication. www.fishbase.org, version (02/2018).","Feeds on several species that belongs or belonged to genus ""Ammodytes""",4,2018,1
Alosa fallax,Macrophyta,Diet,NA,NA,English Channel,"Hartley, P. H. T. (1940). The Saltash tuck-net fishery and the ecology of some estuarine fishes. Journal of the Marine Biological Association of the United Kingdom, 24(1), 1-68.",NA,1,1940,1
Alosa fallax,Pomatoschistus minutus,FishBase,adults,adults,NA,"Froese, R. and D. Pauly. Editors. (2018). FishBase. World Wide Web electronic publication. www.fishbase.org, version (02/2018).",NA,2,2018,4
Alosa fallax,Sprattus sprattus,Dapstom,NA,NA,North Sea,"Pinnegar, J.K. (2014). DAPSTOM - An Integrated Database & Portal for Fish Stomach Records. Version 4.7. Centre for Environment, Fisheries & Aquaculture Science, Lowestoft, UK. February 2014, 39pp.",,2,2014,3
Alosa fallax,Zooplankton,FishBase,adults,adults,NA,"Froese, R. and D. Pauly. Editors. (2018). FishBase. World Wide Web electronic publication. www.fishbase.org, version (02/2018).",NA,4,2018,2
Amphiura filiformis,Detritus,Diet,NA,NA,North Atlantic,"Hunt, O. D. (1925). The food of the bottom fauna of the Plymouth fishing grounds. Journal of the Marine Biological Association of the United Kingdom, 13(3), 560–599.",NA,1,1925,1
Amphiura filiformis,Macroalgae,Diet,NA,NA,North Sea,"Eichelbaum, E. (1909). Über Nahrung und Ernährungsorgane von Echinodermen (Doctoral dissertation, Christian-Albrechts-Universität Kiel).",NA,2,1909,1
Amphiura filiformis,Microalgae,Diet,NA,NA,North Sea,"Eichelbaum, E. (1909). Über Nahrung und Ernährungsorgane von Echinodermen (Doctoral dissertation, Christian-Albrechts-Universität Kiel).",NA,2,1909,1
Amphiura filiformis,Pandalina brevirostris,Diet,NA,NA,Bering Sea,"Feder, H. M., & Jewett, S. C. (1981). Feeding interactions in the eastern Bering Sea with emphasis on the benthos. The Eastern Bering Sea Shelf: Oceanography and Resources, 2, 1229–1261.","[1] From different region / [2] Q4 / [3] At least another species of the same Genus, ""Asterias amurensis"",  feeds on another species of this prey",4,1981,1
Amphiura filiformis,Phytoplankton,Diet,NA,NA,North Sea,"Eichelbaum, E. (1909). Über Nahrung und Ernährungsorgane von Echinodermen (Doctoral dissertation, Christian-Albrechts-Universität Kiel).",NA,2,1909,1
Amphiura filiformis,Zooplankton,Diet,NA,NA,North Sea,"Eichelbaum, E. (1909). Über Nahrung und Ernährungsorgane von Echinodermen (Doctoral dissertation, Christian-Albrechts-Universität Kiel).",NA,2,1909,1
Aphrodita aculeata,Pagurus bernhardus,Diet,NA,juveniles,NA,"Hunt, O. D. (1925). The food of the bottom fauna of the Plymouth fishing grounds. Journal of the Marine Biological Association of the United Kingdom, 13(3), 560–599.",NA,4,1925,1
Aporrhais pespelecani,Detritus,Diet,NA,NA,North Atlantic,"Hunt, O. D. (1925). The food of the bottom fauna of the Plymouth fishing grounds. Journal of the Marine Biological Association of the United Kingdom, 13(3), 560–599.",NA,1,1925,1
Arnoglossus laterna,Amphiura filiformis,Diet,NA,NA,North Sea,"Schückel, S., Sell, A. F., Kröncke, I., & Reiss, H. (2012). Diet overlap among flatfish species in the southern North Sea. Journal of Fish Biology, 80(7), 2571-2594.","Feeds on several species that belongs or belonged to genus ""Amphiura""",4,2012,1
Arnoglossus laterna,Crangon allmanni,Dapstom,NA,NA,Celtic Sea,"Pinnegar, J.K. (2014). DAPSTOM - An Integrated Database & Portal for Fish Stomach Records. Version 4.7. Centre for Environment, Fisheries & Aquaculture Science, Lowestoft, UK. February 2014, 39pp.",,2,2014,8
Arnoglossus laterna,Crangon crangon,Diet,NA,NA,English Channel,"Hartley, P. H. T. (1940). The Saltash tuck-net fishery and the ecology of some estuarine fishes. Journal of the Marine Biological Association of the United Kingdom, 24(1), 1-68.",NA,1,1940,4
Arnoglossus laterna,Echinocardium cordatum,Diet,NA,NA,North Sea,"Schückel, S., Sell, A. F., Kröncke, I., & Reiss, H. (2012). Diet overlap among flatfish species in the southern North Sea. Journal of Fish Biology, 80(7), 2571-2594.","Feeds on several species that belongs or belonged to genus ""Echinocardium""",4,2012,2
Arnoglossus laterna,Liocarcinus depurator,Diet,NA,NA,English Channel,"Steven, G. A. (1930). Bottom fauna and the food of fishes. Journal of the Marine Biological Association of the United Kingdom, 16(3), 677-706.","Feeds on several species that belongs or belonged to genus ""Portunus"", not included in the species list",4,1930,2
Arnoglossus laterna,Liocarcinus holsatus,Diet,NA,NA,English Channel,"Steven, G. A. (1930). Bottom fauna and the food of fishes. Journal of the Marine Biological Association of the United Kingdom, 16(3), 677-706.","Feeds on several species that belongs or belonged to genus ""Portunus"", not included in the species list",4,1930,2
Arnoglossus laterna,Pagurus bernhardus,Diet,NA,NA,North Sea,"Schückel, S., Sell, A. F., Kröncke, I., & Reiss, H. (2012). Diet overlap among flatfish species in the southern North Sea. Journal of Fish Biology, 80(7), 2571-2594.","Feeds on several species that belongs or belonged to genus ""Pagurus"" ",4,2012,1
Arnoglossus laterna,Pandalina brevirostris,Diet,juveniles,NA,English Channel,"Lebour, M. V. (1920). The food of young fish no. III (1919). Journal of the Marine Biological Association of the United Kingdom, 12(2), 261-324.","Feeds on several species that belongs or belonged to genus ""Pandalus""",4,1920,1
Arnoglossus laterna,Philocheras bispinosus bispinosus,Diet,juveniles,NA,English Channel,"Lebour, M. V. (1920). The food of young fish no. III (1919). Journal of the Marine Biological Association of the United Kingdom, 12(2), 261-324.","Feeds on several species that belongs or belonged to genus ""Crangon""",4,1920,4
Arnoglossus laterna,Pomatoschistus minutus,Diet,NA,NA,North Sea,"Schückel, S., Sell, A. F., Kröncke, I., & Reiss, H. (2012). Diet overlap among flatfish species in the southern North Sea. Journal of Fish Biology, 80(7), 2571-2594.","Feeds on several species that belongs or belonged to genus ""Pomatoschistus""",4,2012,1
Arnoglossus laterna,Processa modica modica,Diet,NA,NA,North Sea,"Schückel, S., Sell, A. F., Kröncke, I., & Reiss, H. (2012). Diet overlap among flatfish species in the southern North Sea. Journal of Fish Biology, 80(7), 2571-2594.","Feeds on several species that belongs or belonged to genus ""Processa"" ",4,2012,1
